x, y
12.19325, -2803.94445
12.27761, -2812.52177
12.27761, -2821.09909
12.27761, -2829.67641
12.36196, -2838.25373
12.36196, -2846.83105
12.36196, -2855.40837
12.36196, -2863.98569
12.36196, -2872.56301
12.44632, -2881.14033
12.44632, -2889.71765
12.53067, -2898.29497
12.53067, -2906.87229
12.53067, -2915.44961
12.53067, -2924.02693
12.53067, -2932.60425
12.61503, -2941.18157
12.61503, -2949.75889
12.61503, -2958.33621
12.61503, -2966.91353
12.61503, -2975.49085
12.69938, -2984.06817
12.53067, -2992.64549
