Index, CenterX, CenterY, CenterZ, LengthX, LengthY, LengthZ
1, -3900.0, -3900.0, 4000.0, 200.0, 200.0, 100.0
2, -3900.0, -3700.0, 4000.0, 200.0, 200.0, 100.0
3, -3900.0, -3500.0, 4000.0, 200.0, 200.0, 100.0
4, -3900.0, -3300.0, 4000.0, 200.0, 200.0, 100.0
5, -3900.0, -3100.0, 4000.0, 200.0, 200.0, 100.0
6, -3900.0, -2900.0, 4000.0, 200.0, 200.0, 100.0
7, -3900.0, -2700.0, 4000.0, 200.0, 200.0, 100.0
8, -3900.0, -2500.0, 4000.0, 200.0, 200.0, 100.0
9, -3900.0, -2300.0, 4000.0, 200.0, 200.0, 100.0
10, -3900.0, -2100.0, 4000.0, 200.0, 200.0, 100.0
11, -3900.0, -1900.0, 4000.0, 200.0, 200.0, 100.0
12, -3900.0, -1700.0, 4000.0, 200.0, 200.0, 100.0
13, -3900.0, -1500.0, 4000.0, 200.0, 200.0, 100.0
14, -3900.0, -1300.0, 4000.0, 200.0, 200.0, 100.0
15, -3900.0, -1100.0, 4000.0, 200.0, 200.0, 100.0
16, -3900.0, -900.0, 4000.0, 200.0, 200.0, 100.0
17, -3900.0, -700.0, 4000.0, 200.0, 200.0, 100.0
18, -3900.0, -500.0, 4000.0, 200.0, 200.0, 100.0
19, -3900.0, -300.0, 4000.0, 200.0, 200.0, 100.0
20, -3900.0, -100.0, 4000.0, 200.0, 200.0, 100.0
21, -3900.0, 100.0, 4000.0, 200.0, 200.0, 100.0
22, -3900.0, 300.0, 4000.0, 200.0, 200.0, 100.0
23, -3900.0, 500.0, 4000.0, 200.0, 200.0, 100.0
24, -3900.0, 700.0, 4000.0, 200.0, 200.0, 100.0
25, -3900.0, 900.0, 4000.0, 200.0, 200.0, 100.0
26, -3900.0, 1100.0, 4000.0, 200.0, 200.0, 100.0
27, -3900.0, 1300.0, 4000.0, 200.0, 200.0, 100.0
28, -3900.0, 1500.0, 4000.0, 200.0, 200.0, 100.0
29, -3900.0, 1700.0, 4000.0, 200.0, 200.0, 100.0
30, -3900.0, 1900.0, 4000.0, 200.0, 200.0, 100.0
31, -3900.0, 2100.0, 4000.0, 200.0, 200.0, 100.0
32, -3900.0, 2300.0, 4000.0, 200.0, 200.0, 100.0
33, -3900.0, 2500.0, 4000.0, 200.0, 200.0, 100.0
